gallery_name,gallery_homepage,gallery_events,gallery_about,address,opening_hours,instagram,facebook,manually checked
Wschód Gallery,https://galeriawschod.com/,https://galeriawschod.com/exhibitions/,https://galeriawschod.com/info/,"ul. Walecznych 38/1
03-916 Warsaw","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/wschodgallery/?hl=en,https://www.facebook.com/wschodgallery/?locale=pl_PL,✅
Zachęta – National Gallery of Art,https://zacheta.art.pl/pl,https://zacheta.art.pl/pl/wystawy,https://zacheta.art.pl/pl/o-nas,"pl. Małachowskiego 3, 00-916 Warszawa","Wtorek - Niedziela godz. 12:00 - 20:00
Poniedziałek: nieczynne",https://www.instagram.com/galeria_zacheta/,https://www.facebook.com/zacheta,✅
Muzeum Narodowe w Warszawie,https://www.mnw.art.pl/,https://www.mnw.art.pl/wystawy/,https://www.mnw.art.pl/o-muzeum/,"Aleje Jerozolimskie 3, 00-495 Warszawa","Wtorek - Czwartek: 10.00 - 18.00
Piątek: 10.00 - 20.00
Sobota - Niedziela: 10.00–18.00
Poniedziałek: nieczynne",https://www.instagram.com/nationalmuseuminwarsaw/,https://www.facebook.com/MuzeumNarodowe?fref=ts,✅
Muzeum Rzeźby Królikarnia Oddział Muzeum Narodowego w Warszawie,https://krolikarnia.mnw.art.pl/,https://krolikarnia.mnw.art.pl/wydarzenia/kalendarz-wydarzen/,https://krolikarnia.mnw.art.pl/o-krolikarni/,"ul. Puławska 113a
02-707 Warszawa","Środa - Czwartek: 10.00 - 18.00
Piątek: 10.00 - 20.00
Sobota - Niedziela: 10.00 - 18.00
Poniedziałek - Wtorek: nieczynne",https://www.instagram.com/krolikarnia/,https://www.facebook.com/Krolikarnia,✅
Centrum Sztuki Współczesnej Zamek Ujazdowski,https://u-jazdowski.pl/,https://u-jazdowski.pl/program/wystawy,https://u-jazdowski.pl/o-nas,"Jazdów 2, 00–467 Warszawa","Wtorek - Niedziela: 11:00 - 19:00
Czwartek: 11:00 - 20:00
Poniedziałki: nieczynne",https://www.instagram.com/u_jazdowski/,https://www.facebook.com/centrumsztukiwspolczesnejzamekujazdowski/,
Fibak,https://www.galeriafibak.com/,n/a,n/a,"ul. Krakowskie Przedmiescie 5,
00-401 Warszawa","Poniedziałek - Piątek: 11:00 - 19:00
Sobota: 11:00 - 17:00 
Niedziela: nieczynne",n/a,https://www.facebook.com/galeriafibak,
Fundacja Rodziny Staraków,https://starakfoundation.org/pl/main,https://starakfoundation.org/pl/kolekcja,https://starakfoundation.org/pl/fundacja,"ul. Bobrowiecka 6
00-728 Warszawa","Sobota - Niedziela: 10:00 - 18:00
Poniedziałek - Piątek: nieczynne",https://www.instagram.com/starakfamilyfoundation,https://www.facebook.com/SpectraArtSpace,✅
Muzeum Azji i Pacyfiku,,,,,,,,
Muzeum Fryderyka Chopina,,,,,,,,
Centrum Nauki Kopernik,,,,,,,,
Muzeum Neonów,,,,,,,,
Muzeum Wojska Polskiego,,,,,,,,
Muzeum Geologiczne (PAN),,,,,,,,
Muzeum Historii Polski,,,,,,,,
Muzeum Powstania Warszawskiego,,,,,,,,
Muzeum Łazienki Królewskie,,,,,,,,
Muzeum Karykatury im. Eryka Lipińskiego,,,,,,,,
Muzeum Literatury (Dom Literatury / Muzeum Literatury im. Adama Mickiewicza),,,,,,,,
Muzeum Niepodległości (oddziały związane z historią,,,,,,,,
Muzeum Sportu i Turystyki (oddział),,,,,,,,
Dom Spotkań z Historią.,,,,,,,,
Muzeum Pawiaka / Muzeum Więzienia Pawiak (oddział historyczny),,,,,,,,
Muzeum Azji i Pacyfiku,,,,,,,,
